x,y,z	
6467.299458,2338.142143,-26700.000000
6766.350515,3116.960755,-27100.000000
-2298.859016,12862.940217,-29900.000000
-2303.009170,13195.146088,-20300.000000
-2298.859016,12862.940217,-16500.000000
22508.632012,20572.242469,-11700.000000
-8428.369533,9573.196569,-24300.000000
147.348562,6358.965755,-15700.000000
7311.856275,9103.849773,-15000.000000
-7415.725291,10804.554823,-23600.000000
-6898.706647,10589.672127,-23000.000000
-6278.870500,10376.086193,-23700.000000
-2093.163308,12865.508620,-27200.000000
-11136.426873,20059.992052,-17400.000000
-10903.512162,10094.831822,-17100.000000
9541.345988,3149.882151,-25600.000000
314.664979,9462.080757,-25500.000000
-1592.013752,5672.833425,-26600.000000
9218.653016,4364.296052,-23200.000000
7462.071223,5118.724168,-20700.000000
-4019.345459,10626.273459,-24300.000000
-6057.665687,9160.599944,-24100.000000
-5585.791035,12489.260112,-23300.000000
-8521.183186,8796.699260,-17000.000000
-11862.521951,20493.546745,-6300.000000
7658.442462,5896.292676,-24500.000000
6327.387719,5437.426452,-24400.000000
-5043.470543,10281.053340,-23500.000000
11368.111638,5164.700670,-14500.000000
-5785.849018,12043.696897,-24400.000000
7480.522689,3568.473564,-23800.000000
-186.899099,152.683539,-19200.000000
3707.828933,9503.581928,-27800.000000
-5194.240754,5959.694498,-27500.000000
3247.595518,5067.997965,-28100.000000
9495.751375,7025.476355,-26700.000000
-5389.937219,13267.029527,-26200.000000
-6325.492032,14030.411745,-27000.000000
-3892.762171,8745.052220,-23800.000000
9390.343327,7245.729660,-25500.000000
30784.761623,139689.596866,-8600.000000
-4781.230579,13939.267387,-25100.000000
7060.151034,4338.700262,-28600.000000
7076.006336,3009.911102,-26000.000000
-5729.435678,7614.209952,-25400.000000
1579.791390,6930.372579,-28000.000000
-4348.832864,12283.423200,-24100.000000
8605.869466,4024.818878,-22700.000000
-6893.033779,10146.721674,-21000.000000
7862.721030,6009.465859,-24300.000000
-4499.873813,7962.096633,-23800.000000
7354.007089,5560.429244,-21000.000000
3947.007671,6737.742721,-24700.000000
-8024.187751,10132.192441,-17900.000000
-7511.448985,10249.544907,-24500.000000
-5440.716978,9168.459061,-23400.000000
3353.083269,4847.781376,-16000.000000
-4591.462807,7074.898764,-18900.000000
